日期	開盤價	最高價	最低價	收盤價	成交量
112-03-29	142.00   	143.50   	141.50   	143.00   	1,854   
112-03-28	143.50   	143.50   	141.50   	142.50   	1,241   
112-03-27	144.00   	144.00   	142.00   	143.50   	1,178   
112-03-24	143.50   	144.00   	141.50   	144.00   	2,505   
112-03-23	143.00   	144.50   	142.50   	144.00   	977   
112-03-22	141.00   	144.50   	141.00   	144.50   	3,069   
112-03-21	141.50   	142.00   	139.50   	140.00   	1,430   
112-03-20	143.50   	144.00   	139.50   	140.50   	3,726   
112-03-17	144.50   	145.00   	139.00   	145.00   	6,326   
112-03-16	141.00   	144.00   	140.00   	142.50   	8,033   
112-03-15	136.50   	140.00   	135.50   	139.00   	2,944   
112-03-14	137.00   	140.00   	134.00   	136.50   	4,596   
112-03-13	136.50   	140.50   	135.50   	138.00   	4,642   
112-03-10	137.50   	138.00   	134.50   	137.00   	4,063   
112-03-09	139.50   	140.50   	138.50   	139.00   	1,378   
112-03-08	139.50   	140.50   	138.00   	139.50   	2,251   
112-03-07	139.50   	141.50   	139.50   	141.00   	1,409   
112-03-06	141.50   	141.50   	139.00   	140.00   	1,809   
112-03-03	140.00   	140.50   	138.50   	139.50   	986   
112-03-02	140.00   	140.50   	136.00   	139.00   	3,886
112-02-24	143.00   	144.00   	136.50   	137.00   	5,872   
112-02-23	140.00   	145.00   	139.50   	141.50   	7,721   
112-02-22	133.50   	137.50   	133.00   	136.50   	2,855   
112-02-21	135.00   	135.50   	134.50   	135.00   	633   
112-02-20	135.00   	136.00   	134.00   	134.50   	759   
112-02-17	135.00   	136.00   	133.00   	135.00   	1,869   
112-02-16	132.00   	136.00   	132.00   	135.50   	3,078   
112-02-15	133.50   	134.50   	130.50   	131.00   	1,715   
112-02-14	131.50   	133.50   	131.00   	133.00   	1,508   
112-02-13	128.50   	132.00   	128.50   	131.00   	2,886   
112-02-10	131.00   	131.50   	128.50   	128.50   	3,517   
112-02-09	132.50   	133.50   	131.50   	132.00   	2,109   
112-02-08	134.50   	135.00   	132.50   	132.50   	2,735   
112-02-07	132.50   	134.50   	131.50   	134.00   	2,405   
112-02-06	131.50   	135.00   	131.50   	132.50   	2,658   
112-02-03	132.00   	134.00   	131.50   	132.00   	2,088   
112-02-02	134.00   	134.00   	131.50   	133.00   	2,820   
112-02-01	131.50   	134.50   	130.00   	134.00   	4,123  
112-01-31	132.00   	134.50   	129.00   	131.00   	4,846   
112-01-30	130.00   	133.50   	130.00   	133.00   	5,350   
112-01-17	126.00   	128.50   	125.00   	127.50   	2,894   
112-01-16	126.00   	127.50   	124.50   	125.50   	2,173   
112-01-13	126.00   	127.00   	125.00   	125.50   	2,061   
112-01-12	125.50   	126.50   	124.50   	125.50   	1,215   
112-01-11	127.00   	127.00   	125.00   	125.50   	1,307   
112-01-10	125.50   	126.50   	124.50   	126.50   	2,036   
112-01-09	125.00   	126.00   	124.50   	126.00   	2,324   
112-01-06	123.50   	124.50   	123.00   	124.00   	920   
112-01-05	123.00   	124.00   	122.50   	123.50   	2,236   
112-01-04	122.50   	122.50   	121.00   	122.00   	1,219   
112-01-03	119.00   	122.50   	119.00   	122.50   	1,700 
